epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.3619,1.3697,2.58291,0.01344,0.47594,0.55744,0.50493,0.3272,1.10157,2.31448,0.0114,0.00065942,0.00065942,0.00065942
2,52.0698,1.20845,1.70345,0.01091,0.68173,0.71092,0.7609,0.49305,1.19096,1.29174,0.01295,0.00130733,0.00130733,0.00130733
3,73.4185,1.24314,1.38355,0.01137,0.69439,0.71657,0.78203,0.52814,1.16099,1.01764,0.01254,0.00193639,0.00193639,0.00193639
4,94.5519,1.24086,1.18271,0.01108,0.79135,0.77495,0.85559,0.55369,1.25036,0.88508,0.01258,0.00191514,0.00191514,0.00191514
5,115.773,1.21339,1.05605,0.01084,0.78899,0.75696,0.83627,0.55258,1.17588,0.86796,0.01237,0.00188686,0.00188686,0.00188686
6,136.532,1.22133,0.98145,0.01083,0.75378,0.76104,0.83165,0.54729,1.22152,0.82296,0.01198,0.00185857,0.00185857,0.00185857
7,158.533,1.18475,0.91478,0.01031,0.73784,0.7818,0.80063,0.50471,1.29755,0.83033,0.01338,0.00183029,0.00183029,0.00183029
8,178.479,1.17062,0.8623,0.01016,0.74375,0.8032,0.83559,0.58234,1.09968,0.71946,0.01118,0.001802,0.001802,0.001802
9,197.123,1.18754,0.84114,0.01031,0.75719,0.80132,0.85231,0.60628,1.05863,0.77289,0.01084,0.00177371,0.00177371,0.00177371
10,215.888,1.15862,0.78336,0.01003,0.81306,0.81168,0.88488,0.62253,1.11909,0.63131,0.01184,0.00174543,0.00174543,0.00174543
11,236.6,1.17146,0.79334,0.01023,0.75458,0.79615,0.84162,0.55958,1.19447,0.7708,0.01253,0.00171714,0.00171714,0.00171714
12,257.421,1.1461,0.75763,0.0102,0.73525,0.83239,0.84875,0.56892,1.21785,0.71272,0.01172,0.00168886,0.00168886,0.00168886
13,278.417,1.14906,0.75827,0.01004,0.77989,0.79473,0.85561,0.57278,1.173,0.69531,0.01135,0.00166057,0.00166057,0.00166057
14,298.912,1.13738,0.75081,0.01002,0.75986,0.78343,0.83639,0.56424,1.20679,0.73948,0.01235,0.00163229,0.00163229,0.00163229
15,318.065,1.14621,0.74721,0.01008,0.75363,0.81921,0.84968,0.61509,1.02343,0.71454,0.01049,0.001604,0.001604,0.001604
16,337.564,1.09345,0.71193,0.00963,0.7569,0.82957,0.87216,0.61197,1.0812,0.65905,0.01114,0.00157571,0.00157571,0.00157571
17,357.126,1.08868,0.71114,0.00931,0.79074,0.82486,0.8676,0.61543,1.09633,0.66525,0.01165,0.00154743,0.00154743,0.00154743
18,376.572,1.08966,0.69768,0.00939,0.81181,0.83145,0.89358,0.643,1.06416,0.61079,0.01031,0.00151914,0.00151914,0.00151914
19,395.347,1.06674,0.68224,0.00916,0.83043,0.79379,0.87681,0.63065,1.04995,0.65456,0.01024,0.00149086,0.00149086,0.00149086
20,414.09,1.0772,0.67566,0.00937,0.79296,0.84389,0.89685,0.65484,1.01297,0.62222,0.01015,0.00146257,0.00146257,0.00146257
21,432.546,1.03444,0.65498,0.00876,0.80104,0.81073,0.88409,0.57325,1.25246,0.68102,0.0113,0.00143429,0.00143429,0.00143429
22,451.359,1.03207,0.63745,0.00886,0.76381,0.84652,0.87612,0.51564,1.48979,0.72996,0.01352,0.001406,0.001406,0.001406
23,470.277,1.00628,0.62236,0.00861,0.75861,0.86817,0.88786,0.64605,1.03909,0.65223,0.01042,0.00137771,0.00137771,0.00137771
24,490.892,1.02618,0.62835,0.00882,0.81614,0.80669,0.88022,0.59597,1.15954,0.65977,0.01095,0.00134943,0.00134943,0.00134943
25,510.436,1.04298,0.6243,0.00874,0.79628,0.85311,0.90217,0.65474,1.02074,0.61909,0.01001,0.00132114,0.00132114,0.00132114
26,529.875,1.01461,0.5991,0.00872,0.83248,0.82825,0.90358,0.67069,0.98619,0.58827,0.00982,0.00129286,0.00129286,0.00129286
27,549.849,0.98742,0.59706,0.00832,0.81325,0.83242,0.90768,0.67593,0.98477,0.60722,0.00991,0.00126457,0.00126457,0.00126457
28,567.779,0.98697,0.60407,0.00826,0.78232,0.84942,0.87222,0.62826,1.02258,0.63438,0.00999,0.00123629,0.00123629,0.00123629
29,586.307,1.01565,0.60399,0.00865,0.83582,0.81974,0.89838,0.6578,1.0278,0.63022,0.00988,0.001208,0.001208,0.001208
30,604.178,0.97362,0.57994,0.00814,0.81624,0.83652,0.8944,0.66167,0.99292,0.56138,0.00975,0.00117971,0.00117971,0.00117971
31,621.961,1.00634,0.58574,0.00846,0.82822,0.83083,0.8976,0.65388,1.03022,0.60129,0.00991,0.00115143,0.00115143,0.00115143
32,640.817,0.96677,0.57193,0.00812,0.79623,0.84087,0.89008,0.6349,1.0593,0.60599,0.01037,0.00112314,0.00112314,0.00112314
33,661.781,0.96792,0.56097,0.00821,0.83294,0.81827,0.90132,0.65039,1.0821,0.61154,0.01042,0.00109486,0.00109486,0.00109486
34,681.249,0.95693,0.55653,0.00791,0.82223,0.83145,0.89557,0.66994,0.98668,0.6237,0.01003,0.00106657,0.00106657,0.00106657
35,701.582,0.93684,0.54351,0.00786,0.79543,0.86043,0.90478,0.66328,1.05572,0.57108,0.01018,0.00103829,0.00103829,0.00103829
36,719.974,0.93842,0.56226,0.00789,0.8268,0.81358,0.88136,0.61213,1.14081,0.66552,0.01072,0.00101,0.00101,0.00101
37,737.3,0.92777,0.53464,0.00787,0.81479,0.84557,0.90229,0.66866,1.01373,0.60056,0.00985,0.000981714,0.000981714,0.000981714
38,756.857,0.93148,0.54122,0.00785,0.82549,0.84181,0.90627,0.61875,1.19838,0.61145,0.01117,0.000953429,0.000953429,0.000953429
39,776.719,0.94013,0.54149,0.00784,0.83521,0.84472,0.90911,0.68548,0.97673,0.57839,0.00964,0.000925143,0.000925143,0.000925143
