epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,570.613,0.87041,0.57304,1.04029,0.85171,0.88156,0.93715,0.69284,0.96864,0.62958,1.03105,0.000840286,0.000840286,0.000840286
43,585.09,0.86083,0.5731,1.03905,0.85946,0.87526,0.92292,0.69378,0.94541,0.61824,1.02125,0.000812,0.000812,0.000812
44,599.505,0.85974,0.5684,1.03781,0.87074,0.87532,0.93412,0.69435,0.98461,0.62602,1.03623,0.000783714,0.000783714,0.000783714
45,613.841,0.84435,0.55944,1.03338,0.85985,0.87571,0.9304,0.68117,1.00698,0.6336,1.06472,0.000755429,0.000755429,0.000755429
46,628.239,0.83738,0.55934,1.03124,0.86453,0.86532,0.92668,0.67671,0.98818,0.64015,1.04502,0.000727143,0.000727143,0.000727143
47,642.561,0.85527,0.56025,1.03431,0.88155,0.85405,0.93583,0.69174,0.97922,0.61141,1.03157,0.000698857,0.000698857,0.000698857
48,656.906,0.83084,0.54764,1.02618,0.83392,0.89362,0.92533,0.6869,0.98118,0.63055,1.04593,0.000670571,0.000670571,0.000670571
49,671.191,0.83019,0.5459,1.02392,0.85386,0.88983,0.93078,0.68561,0.98823,0.62236,1.04416,0.000642286,0.000642286,0.000642286
50,685.538,0.82704,0.53976,1.02882,0.8751,0.86424,0.93347,0.69385,0.98712,0.61966,1.03939,0.000614,0.000614,0.000614
51,699.874,0.83039,0.53799,1.02328,0.89315,0.85005,0.93155,0.70187,0.934,0.61121,1.01748,0.000585714,0.000585714,0.000585714
52,714.209,0.81368,0.54135,1.01683,0.85699,0.85782,0.9271,0.69959,0.9329,0.62774,1.00724,0.000557429,0.000557429,0.000557429
53,728.592,0.79552,0.52463,1.00914,0.85604,0.85666,0.92806,0.68017,1.00044,0.64078,1.04766,0.000529143,0.000529143,0.000529143
54,742.916,0.80093,0.5203,1.00918,0.8564,0.86723,0.93453,0.69338,0.97484,0.62994,1.03688,0.000500857,0.000500857,0.000500857
55,757.141,0.80695,0.52567,1.01649,0.85112,0.87476,0.93016,0.697,0.95514,0.63498,1.03209,0.000472571,0.000472571,0.000472571
56,771.452,0.79136,0.51743,1.00997,0.87868,0.85251,0.91646,0.65893,1.03308,0.64722,1.06004,0.000444286,0.000444286,0.000444286
57,785.773,0.7911,0.51842,1.00881,0.85009,0.87853,0.91567,0.69193,0.93773,0.61625,1.0364,0.000416,0.000416,0.000416
58,800.069,0.78532,0.51144,1.00645,0.83427,0.90207,0.91801,0.6936,0.94098,0.61581,1.02918,0.000387714,0.000387714,0.000387714
59,814.354,0.77357,0.50202,1.00254,0.86638,0.86158,0.92987,0.69497,0.97448,0.62689,1.02633,0.000359429,0.000359429,0.000359429
60,828.76,0.78574,0.50815,1.00704,0.88201,0.85169,0.93472,0.71405,0.93209,0.62426,1.01908,0.000331143,0.000331143,0.000331143
61,875.202,0.72544,0.44264,0.96717,0.87009,0.86535,0.92243,0.66452,1.04745,0.63172,1.0577,0.000302857,0.000302857,0.000302857
62,888.979,0.69937,0.43296,0.95791,0.8814,0.85374,0.92324,0.69198,0.95615,0.60654,1.0403,0.000274571,0.000274571,0.000274571
63,902.744,0.69736,0.42157,0.95436,0.86718,0.87006,0.92688,0.70372,0.92544,0.59831,1.02382,0.000246286,0.000246286,0.000246286
64,916.427,0.68727,0.41848,0.95087,0.85588,0.87194,0.92396,0.70596,0.92848,0.60406,1.03725,0.000218,0.000218,0.000218
65,930.116,0.66795,0.41205,0.94674,0.84609,0.88606,0.92427,0.70011,0.94415,0.60576,1.03916,0.000189714,0.000189714,0.000189714
66,943.903,0.66287,0.4051,0.94316,0.86859,0.85687,0.92371,0.69784,0.94935,0.61226,1.03679,0.000161429,0.000161429,0.000161429
67,957.83,0.6492,0.39539,0.93296,0.87166,0.8597,0.92773,0.69814,0.95177,0.60815,1.03831,0.000133143,0.000133143,0.000133143
68,971.547,0.65555,0.396,0.93627,0.87004,0.85499,0.92182,0.67505,1.01069,0.62737,1.06048,0.000104857,0.000104857,0.000104857
69,985.289,0.64409,0.39081,0.93417,0.84819,0.88324,0.92553,0.705,0.94307,0.61084,1.03544,7.65714e-05,7.65714e-05,7.65714e-05
70,998.971,0.63537,0.38927,0.93226,0.87104,0.85593,0.92572,0.70117,0.94839,0.60881,1.03742,4.82857e-05,4.82857e-05,4.82857e-05
